# BITDEPTH 8, RANGE LEGAL
0,16,16,16,0 Black
1,71,71,71,25 Gray
2,126,126,126,50 Gray
3,180,180,180,75 Gray
4,235,235,235,100 White
5,71,16,16,25 Red
6,126,16,16,50 Red
7,180,16,16,75 Red
8,235,16,16,100 Red
9,16,71,16,25 Green
10,16,126,16,50 Green
11,16,180,16,75 Green
12,16,235,16,100 Green
13,16,16,71,25 Blue
14,16,16,126,50 Blue
15,16,16,180,75 Blue
16,16,16,235,100 Blue
17,16,71,71,25 Cyan
18,16,126,126,50 Cyan
19,16,180,180,75 Cyan
20,16,235,235,100 Cyan
21,71,16,71,25 Magenta
22,126,16,126,50 Magenta
23,180,16,180,75 Magenta
24,235,16,235,100 Magenta
25,71,71,16,25 Yellow
26,126,126,16,50 Yellow
27,180,180,16,75 Yellow
28,235,235,16,100 Yellow
